Participant,Completed Step,BeefStewCookbook,BrothParent,Carrot,CarrotBottomQuarter1,CarrotBottomQuarter2,CarrotBotton,CarrotTop,CarrotTopQuarter1,CarrotTopQuarter2,Knife,Meat,Onion,PepperShakerGrabableSimple,Potato,SaltShakerGrabableSimple,StirSpoonSimple,Tomato,Interacted Objects
C001,Pour Broth,1,3.0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,12
C001,Add Beef,3,3.0,0,0,0,0,0,0,0,8,17,4,0,0,0,0,0,35
C001,Add Onion,1,2.0,2,0,0,0,0,0,0,10,2,16,0,0,0,0,0,33
C001,Add Tomtato,1,0.0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,16,25
C001,Add Carrot,1,0.0,5,4,4,4,4,4,5,6,2,0,0,0,0,0,0,39
C001,Add Potato,1,0.0,6,0,0,0,0,0,0,2,0,0,0,14,0,0,0,23
C001,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
C001,Add pepper,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
C001,Add Salt,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C003,Pour Broth,6,13.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23
C003,Add Beef,26,7.0,2,0,0,0,0,0,0,4,16,0,0,0,0,0,0,55
C003,Add Onion,1,0.0,0,0,0,0,0,0,0,10,0,24,0,0,0,0,0,35
C003,Add Tomtato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,17
C003,Add Potato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,17
C003,Add Carrot,1,0.0,6,5,4,3,2,5,4,4,0,0,0,0,0,0,0,34
C003,Add pepper,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
C003,Add Salt,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C003,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
C006,Pour Broth,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
C006,Add Beef,1,1.0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,0,33
C006,Add Onion,1,0.0,0,0,0,0,0,0,0,4,2,18,0,0,0,0,0,25
C006,Add Tomtato,3,0.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,22
C006,Add Potato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,21
C006,Add Carrot,1,0.0,12,7,11,7,1,2,2,6,4,0,0,0,0,0,0,53
C006,Add Salt,1,0.0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4
C006,Add pepper,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C006,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4
C008,Pour Broth,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
C008,Add Beef,1,1.0,0,0,0,0,0,0,0,14,55,0,0,0,0,0,0,71
C008,Add Onion,2,0.0,0,0,0,0,0,0,0,12,0,39,0,0,0,0,0,53
C008,Add Tomtato,4,0.0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,24,34
C008,Add Potato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,16
C008,Add Carrot,2,0.0,9,6,13,8,8,2,5,16,0,0,0,0,0,0,0,69
C008,Add Salt,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
C008,Stir Stew,11,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,17
C008,Add pepper,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C009,Pour Broth,14,2.0,4,0,0,0,0,0,0,2,0,4,0,4,0,2,6,38
C009,Add Beef,3,2.0,0,0,0,0,0,0,0,38,87,5,0,0,0,0,15,150
C009,Add Tomtato,2,0.0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,18,32
C009,Add Potato,1,0.0,4,0,0,0,0,0,0,8,0,0,0,14,0,0,0,27
C009,Add Carrot,1,0.0,8,4,4,8,6,4,6,14,0,2,0,0,2,4,0,63
C009,Add Salt,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
C009,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
C009,Add pepper,0,0.0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,6
C012,Pour Broth,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
C012,Add Beef,1,1.0,0,0,0,0,0,0,0,4,36,0,0,0,0,0,0,42
C012,Add Onion,1,0.0,0,0,0,0,0,0,0,4,0,23,0,0,0,0,0,28
C012,Add Tomtato,2,0.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,20
C012,Add Carrot,1,0.0,6,4,4,2,2,4,4,6,0,2,0,0,0,0,0,35
C012,Add pepper,1,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
C012,Add Potato,0,0.0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,22
C012,Add Salt,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C012,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
C013,Pour Broth,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
C013,Add Beef,1,3.0,0,0,0,0,0,0,0,18,46,0,0,0,0,0,0,68
C013,Add Onion,1,0.0,0,0,0,0,0,0,0,18,0,26,0,0,0,0,0,45
C013,Add Tomtato,1,0.0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,18,25
C013,Add Potato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,21
C013,Add Carrot,2,0.0,15,5,6,10,8,4,4,8,0,0,0,0,0,0,0,62
C013,Stir Stew,2,0.0,0,2,0,0,2,0,0,2,0,0,16,0,6,7,0,37
C016,Pour Broth,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
C016,Add Beef,1,3.0,0,0,0,0,0,0,0,7,44,0,0,0,0,2,0,57
C016,Add Onion,1,0.0,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,21
C016,Add Tomtato,3,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,21
C016,Add Potato,1,0.0,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,20
C016,Add Carrot,1,0.0,6,4,4,4,2,4,4,4,0,0,0,0,0,0,0,33
C016,Add pepper,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
C016,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
C016,Add Salt,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C017,Pour Broth,1,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
C017,Add Beef,1,3.0,0,0,0,0,0,0,0,12,31,0,0,0,0,0,0,47
C017,Add Onion,1,0.0,0,0,0,0,0,0,0,18,16,20,0,0,0,0,0,55
C017,Add Tomtato,3,0.0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,15,24
C017,Add Potato,1,0.0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,19
C017,Add Carrot,1,0.0,6,4,4,5,4,6,4,4,0,0,0,0,0,0,0,38
C017,Add pepper,1,0.0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4
C017,Add Salt,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4
C017,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
C020,Pour Broth,1,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
C020,Add Carrot,0,0.0,4,4,7,4,4,4,5,8,0,0,0,0,0,0,0,40
C020,Add Beef,1,1.0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,30
C020,Add Onion,2,0.0,0,0,0,0,0,0,0,14,18,20,0,0,0,0,0,54
C020,Add Tomtato,2,0.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,23
C020,Add pepper,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
C020,Add Potato,6,2.0,0,0,0,0,0,0,0,4,0,0,0,20,0,1,0,33
C020,Add Salt,0,0.0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,4
C020,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
C021,Pour Broth,1,1.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6
C021,Add Beef,1,3.0,0,0,0,0,0,0,0,10,66,0,0,0,0,0,0,80
C021,Add Onion,1,0.0,0,0,0,0,0,0,0,10,7,31,0,0,0,0,0,49
C021,Add Tomtato,9,0.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,28
C021,Add Potato,7,0.0,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,30
C021,Add Carrot,1,0.0,6,8,4,5,6,6,5,14,2,0,0,0,0,0,0,57
C021,Add Salt,3,0.0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6
C021,Stir Stew,14,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,22
C021,Add pepper,0,2.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8
C024,Pour Broth,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
C024,Add Beef,1,1.0,0,0,0,0,0,0,0,6,35,0,0,0,0,0,0,43
C024,Add Onion,1,0.0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,19
C024,Add Tomtato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,17
C024,Add Potato,1,0.0,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,22
C024,Add Carrot,1,0.0,6,4,4,2,2,4,5,4,0,0,0,0,0,0,0,32
C024,Add pepper,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
C024,Add Salt,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C024,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,6
C025,Pour Broth,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
C025,Add Beef,1,1.0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,25
C025,Add Onion,1,0.0,0,0,0,0,0,0,0,4,15,16,0,0,0,0,0,36
C025,Add Tomtato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,17
C025,Add Potato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,19
C025,Add Carrot,1,0.0,6,6,4,4,2,6,4,2,0,0,0,0,0,0,0,35
C025,Add pepper,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
C025,Add Salt,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C025,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
C028,Pour Broth,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
C028,Add Beef,1,1.0,0,0,0,0,0,0,0,4,38,0,0,0,0,0,0,44
C028,Add Onion,1,0.0,0,0,0,0,0,0,0,6,0,27,0,0,0,0,0,34
C028,Add Tomtato,1,0.0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,14,21
C028,Add Potato,1,0.0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,19
C028,Add Carrot,1,0.0,9,4,4,5,4,4,4,8,0,0,0,0,0,0,0,43
C028,Add pepper,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
C028,Add Salt,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C028,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4
C029,Add Carrot,6,,3,0,2,1,1,0,0,46,37,19,0,19,0,0,40,174
C029,Stir Stew,1,,15,6,2,1,3,3,4,14,0,0,4,0,2,1,28,84
C032,Pour Broth,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
C032,Add Beef,1,3.0,0,0,0,0,0,0,0,10,49,0,0,0,0,0,0,63
C032,Add Onion,1,0.0,0,0,0,0,0,0,0,6,5,22,0,0,0,0,0,34
C032,Add Tomtato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,17
C032,Add Potato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,17
C032,Add Carrot,1,0.0,6,5,4,2,2,5,4,2,0,0,0,0,0,0,0,31
C032,Add pepper,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
C032,Add Salt,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C032,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
