Participant,Gender,Block Design Raw Score,Chest Total Distance,HeadCamera Total Distance,LeftElbow Total Distance,LeftShoulder Total Distance,MotionControllerLeft Total Distance,MotionControllerRight Total Distance,RightElbow Total Distance,RightShoulder Total Distance,Chest Distance - Add Apples,HeadCamera Distance - Add Apples,LeftElbow Distance - Add Apples,LeftShoulder Distance - Add Apples,MotionControllerLeft Distance - Add Apples,MotionControllerRight Distance - Add Apples,RightElbow Distance - Add Apples,RightShoulder Distance - Add Apples,Chest Distance - Add Butter,HeadCamera Distance - Add Butter,LeftElbow Distance - Add Butter,LeftShoulder Distance - Add Butter,MotionControllerLeft Distance - Add Butter,MotionControllerRight Distance - Add Butter,RightElbow Distance - Add Butter,RightShoulder Distance - Add Butter,Chest Distance - Add Cinnamon,HeadCamera Distance - Add Cinnamon,LeftElbow Distance - Add Cinnamon,LeftShoulder Distance - Add Cinnamon,MotionControllerLeft Distance - Add Cinnamon,MotionControllerRight Distance - Add Cinnamon,RightElbow Distance - Add Cinnamon,RightShoulder Distance - Add Cinnamon,Chest Distance - Add Crusttop,HeadCamera Distance - Add Crusttop,LeftElbow Distance - Add Crusttop,LeftShoulder Distance - Add Crusttop,MotionControllerLeft Distance - Add Crusttop,MotionControllerRight Distance - Add Crusttop,RightElbow Distance - Add Crusttop,RightShoulder Distance - Add Crusttop,Chest Distance - Add Sugar,HeadCamera Distance - Add Sugar,LeftElbow Distance - Add Sugar,LeftShoulder Distance - Add Sugar,MotionControllerLeft Distance - Add Sugar,MotionControllerRight Distance - Add Sugar,RightElbow Distance - Add Sugar,RightShoulder Distance - Add Sugar,Chest Distance - Add Water,HeadCamera Distance - Add Water,LeftElbow Distance - Add Water,LeftShoulder Distance - Add Water,MotionControllerLeft Distance - Add Water,MotionControllerRight Distance - Add Water,RightElbow Distance - Add Water,RightShoulder Distance - Add Water,Chest Distance - Add Pie,HeadCamera Distance - Add Pie,LeftElbow Distance - Add Pie,LeftShoulder Distance - Add Pie,MotionControllerLeft Distance - Add Pie,MotionControllerRight Distance - Add Pie,RightElbow Distance - Add Pie,RightShoulder Distance - Add Pie,Chest Distance - Add Syrup,HeadCamera Distance - Add Syrup,LeftElbow Distance - Add Syrup,LeftShoulder Distance - Add Syrup,MotionControllerLeft Distance - Add Syrup,MotionControllerRight Distance - Add Syrup,RightElbow Distance - Add Syrup,RightShoulder Distance - Add Syrup
C001,Female,36,3395.496127,4873.394828,4943.053122,4723.892731,5571.116724,11350.78475,8129.374727,6489.176587,604.9345124,891.5378044,751.7202619,712.5618059,979.341382,3126.059197,1780.217261,1068.079809,571.126297,849.5801647,931.1407854,945.6055586,1027.631565,1652.806324,972.7351658,880.2421716,332.5078922,473.7226551,552.7507383,459.6711704,679.0540743,936.6551773,742.5808991,627.2207042,209.4839857,263.142734,294.5573394,274.9617387,290.218322,618.7421984,500.9267692,351.5985619,502.8014697,633.8930347,683.3268036,670.7844695,785.1998028,1612.699496,973.9181634,754.6792545,100.7894108,148.1198621,123.6249842,133.2564559,147.7164606,329.8766476,218.3243674,184.9709626,417.7053567,646.9879733,521.0098787,508.3004521,499.2229438,1049.358871,864.4525984,701.0282369,131.5599399,219.3830123,243.410276,230.4123762,263.8788534,310.6883878,212.2427785,172.1467971
C003,Female,58,2441.226143,3706.550475,5360.292055,3692.937327,5354.438631,9325.253301,5944.739917,4504.20868,536.2362112,735.3264289,2176.457761,648.6309877,1107.648439,3382.430048,1766.212367,1244.350696,138.9079859,221.9405602,358.5313512,277.6068287,461.167238,310.7176665,214.2936085,176.9084573,63.21698631,94.9016046,87.89735066,50.39299198,102.0298848,386.25036,232.7323971,151.3615125,76.42186419,90.49837519,49.31672518,84.40990583,71.15025729,424.487148,305.0364677,189.4210691,418.8307657,537.9795606,616.7229952,622.9059996,1034.522639,1007.308532,825.2254184,662.5381799,73.01473726,81.42702062,145.7379728,114.2449992,212.4874112,237.5361565,160.9756069,109.2225159,281.7707563,556.2043385,681.1186637,554.9320023,732.6316835,1029.531151,733.8253503,632.0001049,305.5052644,479.5285755,429.2751066,315.3475768,553.7930429,524.2470506,377.6151767,338.6917521
C006,Male,42,4712.44912,13718.03102,8528.845238,7375.464025,11931.23483,13994.06389,11725.71901,8014.14279,1159.659473,3379.233117,2539.534217,2253.539045,2501.928454,4404.150571,2765.896671,2106.29168,138.9079859,219.3533171,358.5313512,277.6068287,480.1632238,275.5168791,214.2936085,176.9084573,471.8758518,467.6171484,547.9414388,515.6476516,845.1461498,791.1885342,742.5808991,627.2207042,201.7700377,298.0587363,366.6060809,304.9845713,431.4369022,333.4143897,483.479056,362.5842706,496.7281312,401.7150934,616.0934453,469.3032687,530.2290846,538.6926838,643.1457828,541.5715078,606.0435729,7416.562265,681.3595163,673.056011,5474.310174,4194.65674,764.5913205,706.3710675,422.70085,531.1639769,511.3128591,504.0012426,435.5722459,1020.632468,864.4525984,701.0282369,109.3384335,132.3126142,183.3689211,185.8550392,150.4021953,226.7471469,223.3117783,199.8586853
C008,Female,34,5700.541398,7249.311815,8098.794354,7629.508538,8208.691009,17023.98997,13714.71177,10190.06739,2304.163176,2880.191997,3410.427345,3041.91167,3421.640744,8070.078953,6199.743605,4392.0086,486.3406829,710.0462549,545.4334513,590.9885745,587.8346174,1608.015947,1291.257148,984.4177547,237.6132609,348.9662931,357.1268175,368.5712236,301.6459526,850.8964188,749.1516766,546.6319199,309.4165284,397.5507245,493.3287714,445.495948,501.7443806,713.2077799,643.7662232,500.7669932,513.3353443,552.4608183,675.9348978,773.1416798,674.2868498,1209.754735,1046.956623,821.064589,182.7448236,265.4910676,199.1514511,215.1094799,170.0527735,445.0122045,423.9426473,352.3924944,603.3647268,736.7619566,872.8643726,780.5919412,913.5345343,1202.199385,1025.486016,813.7266202,195.3774081,263.3191244,256.8435965,253.7179136,290.9838993,399.2577869,330.7204037,316.0636023
C009,Female,24,6033.585268,8253.252412,7296.033427,7572.35487,7315.455306,17737.16234,13271.20967,9907.909661,2344.988669,3274.813739,2672.153843,3108.91434,2660.870183,8043.298615,5350.50101,3900.905669,427.4877763,540.5380021,486.1922244,477.8662736,476.424223,1306.98548,963.7981381,706.7784715,113.0080181,181.7654181,155.2375448,152.0364533,144.3112826,381.1196805,328.9537112,222.0224221,201.7700377,304.2713094,366.6060809,304.9845713,383.7766292,603.6856476,483.479056,362.5842706,1170.091011,1528.348308,1472.956809,1469.479488,1482.519391,2502.618246,2211.283018,1746.598537,153.9810143,232.8555601,174.0220864,183.7900535,164.2837158,406.946399,372.4779725,259.9261836,422.70085,583.094933,511.3128591,504.0012426,484.5009916,991.2936265,864.4525984,701.0282369,94.41353902,163.7707987,166.7050771,154.3780531,192.1356759,375.8317062,228.0193989,174.9189449
C012,Female,54,4288.495977,4712.594053,6729.454648,6143.365294,7840.153705,14035.88945,9658.841557,6739.413823,722.2695163,876.9527331,1281.925462,994.3616019,1805.556497,3998.861141,2327.116645,1475.884196,219.7540597,277.7907492,462.2631517,362.5074672,559.5338694,718.9261584,541.1750497,359.3589992,206.1947073,239.5306048,267.2368724,221.2741843,218.697388,806.8631616,560.7810511,358.166667,295.4759282,313.9223409,774.9688753,520.1933619,824.4030492,751.6407423,641.5363696,440.3781175,496.7281312,329.1203754,616.0934453,469.3032687,611.8643817,893.608139,643.1457828,541.5715078,175.3548687,196.0120465,297.6808353,225.1415702,401.2640976,323.6113198,249.1910765,209.8279204,356.4399514,520.1279531,723.2085817,1187.815747,726.6408574,999.1740142,842.4908627,653.5295763,118.6256079,152.7909242,164.9787991,131.6469,142.9124576,397.1345305,320.4504191,210.5510629
C013,Female,48,6519.554198,7920.065874,10220.21775,8874.677785,12700.44653,13452.02524,10296.42858,8498.06895,2371.114133,2803.826064,3753.108766,3354.837484,4728.598911,5798.915955,4207.281884,3285.004349,267.8778425,351.3383732,390.9640802,332.3555715,502.9442507,757.7580248,542.3575262,407.9481277,471.8758518,538.6852162,547.9414388,515.6476516,672.6238748,851.6950933,742.5808991,627.2207042,339.446726,380.6994777,372.4945422,383.6654009,448.3643169,642.7546328,529.3798431,432.26512,533.901216,687.6700715,1109.740023,854.2683218,1319.687548,665.3411402,552.2663414,566.4294849,170.8836738,209.3418969,394.6632674,292.8242601,557.4707607,367.739503,292.07865,243.9003487,499.4602393,581.057959,800.624237,696.5799451,940.6539101,705.8200804,553.6203208,511.2717709,216.8912182,265.6208678,293.155047,266.0671934,319.3896137,464.9791914,395.5094513,321.385721
C016,Male,39,5183.757477,7257.163993,8069.332124,7611.329034,9755.215507,13052.39353,10385.88408,8028.321522,1159.659473,1743.678861,2539.534217,2253.539045,3095.585149,3733.026661,2765.896671,2106.29168,441.0331936,793.5495989,935.9471226,894.1585128,1241.037214,1095.528796,972.7351658,880.2421716,154.0368379,322.8367964,272.7885257,238.1801568,316.8762445,722.7455209,520.3282915,359.9057874,359.2384436,667.2150965,870.8086948,775.1415092,1063.07855,1119.697352,967.9422311,700.1321712,1613.431626,1376.832093,1399.272791,1344.856056,1664.596131,2145.661525,1743.952683,1356.891678,316.0649568,286.6434989,281.6791641,288.7888366,346.585941,559.0162385,502.0626304,352.823481,349.8997652,536.0555965,553.2574034,558.230081,612.7448476,686.4985029,583.915187,531.9493034,98.41716866,201.2761421,178.1193218,150.6992956,235.1704837,318.6916258,212.2427785,172.1467971
C017,Male,36,2594.463613,5302.547139,4429.981578,4482.371709,6464.035372,12528.30802,8977.525132,7180.262095,192.146733,435.1183683,627.8838941,430.7639532,784.54084,1637.282136,1009.332362,1458.600894,232.4246912,486.6513807,324.6834844,308.230312,421.582352,1018.188932,802.9823972,558.4159256,60.18003337,188.1599749,306.440016,155.3170774,219.915122,468.4209885,382.1541884,245.5503543,198.3531023,289.7726547,116.7348224,243.133306,269.7188646,690.0867689,572.0592538,386.0499837,673.565419,897.5025061,1280.198513,1021.653608,1562.18644,1850.276821,1324.604149,949.789831,46.59589302,198.4612011,62.5070028,95.36810565,137.6486733,318.2215135,244.7121892,181.8922965,439.8428382,746.2758442,605.3193875,620.1948409,589.137933,1236.095334,1052.772652,828.1468802,118.6256079,184.5696885,164.9787991,97.65570622,145.496436,333.7318279,276.8081118,213.1847922
C020,Female,30,4712.44912,9261.042902,8528.845238,7375.464025,9747.469647,13801.27471,11725.71901,8014.14279,469.1842981,683.9034863,790.6532516,602.4836855,1058.445109,1975.633517,1238.733965,826.4241082,232.9864163,456.5551221,719.5073074,567.4541355,937.5864169,478.5882332,525.9607718,292.9563828,712.3364564,1063.913755,1363.010567,1054.180742,2124.107917,3096.883017,2017.308953,1222.728386,193.0821177,305.2212419,304.7991715,272.9352115,354.5393241,641.6507688,500.9267692,351.5985619,837.3725382,2750.808438,1727.712419,1625.934333,1265.401897,1595.414344,2258.026615,1383.387934,110.7179181,214.4128531,290.6539252,227.6205061,341.8825909,305.704861,422.8320318,169.6176366,451.6286637,683.6722686,675.585022,605.3701381,812.2540543,1045.051381,912.6129555,739.1778431,109.3458913,182.0165612,158.7651599,126.914372,310.7212492,388.5668008,266.4772788,198.1971277
C021,Female,29,4943.632318,7064.623564,7502.276262,6938.900836,8738.373053,19564.44575,12230.82011,8849.668373,135.5545548,152.2716169,169.7828836,160.9792908,200.9729732,722.472388,378.5689537,235.1400176,391.9258845,550.5494934,472.1023376,492.9674821,533.6219539,1522.019642,1007.145758,691.9809707,209.11005,295.5345856,508.9556733,380.1874676,792.6751951,878.9257906,584.809017,415.0500151,198.3531023,319.2496874,228.2167114,247.3926239,261.1738605,748.9911399,538.8873415,371.1715249,1941.781399,2552.253622,2875.634515,2578.835627,3298.194232,9842.472089,4929.879139,3404.114906,285.1212688,418.6642247,361.4212075,409.5328877,367.6540815,790.6423883,596.535288,476.7626605,842.0695133,1236.244764,1344.956016,1208.738061,1448.864287,2100.446844,1789.867522,1448.495971,109.3384335,164.1988344,183.3689211,185.8550392,208.5254469,276.7337236,223.3117783,199.8586853
C024,Female,42,4172.296974,4460.865558,4269.542458,4212.527999,5917.394359,12438.21615,8129.374727,6489.176587,783.852062,949.8635618,1127.4529,1087.26221,1701.229723,3829.673771,2234.707848,1682.849348,96.93057726,137.4247747,108.8596277,101.9843902,143.9154285,473.7221253,315.9526705,232.6501116,111.572196,194.2656808,167.5317933,168.4461356,226.0657772,711.2521803,392.0688102,286.8420862,200.0070503,238.2190689,345.8206351,303.708385,454.3743248,751.6732109,501.1244734,371.2047904,502.7255141,509.3652452,652.470635,644.0247447,769.7482829,1536.418047,973.9181634,754.6792545,104.5673227,152.8624492,107.1481891,112.3355507,134.1555014,295.9324684,218.3243674,184.9709626,1536.154053,1071.242611,795.1128285,812.8273497,1038.913536,1757.611623,1445.028378,1296.510727,135.5487261,216.4638496,142.1325661,150.2312568,190.4114287,368.5232977,234.7102531,202.604311
C025,Female,24,3392.02294,6371.934947,3617.930431,3608.932701,4376.171929,10232.18623,6666.427275,5172.475553,425.3166383,597.4433146,578.9638401,485.0967469,702.0182683,2049.074761,1191.312426,821.1235548,158.0618059,241.2871311,137.8127234,169.547875,181.5743828,701.0877616,451.3595721,304.8302413,431.7147336,627.3368673,550.4417888,473.1283601,607.2065668,2156.273034,1323.468786,902.5276397,290.7989654,328.9868989,360.800627,298.9374652,379.932098,602.385768,554.166783,397.4877249,265.4177348,2525.354231,258.4987646,383.1383432,327.1667845,913.1757032,437.4894113,531.8924637,144.3264075,139.6892849,87.08634139,96.49602969,115.9822405,319.685919,234.5094775,161.8794004,1103.535339,1053.222548,965.3540425,1028.54698,1162.942754,1657.162612,1218.080966,1083.26082,80.94474198,142.3065684,59.38062292,78.38154092,98.54281277,295.4639536,234.4248066,182.3173532
C028,Male,50,4725.011579,7810.665604,6747.525944,5646.356113,9273.224103,16249.52469,11576.74375,8833.243048,982.3478042,1951.042903,1710.880029,1319.21985,2305.461708,6092.756252,3864.175199,2593.059035,469.3837987,963.8542685,1104.222056,892.9677303,1409.260161,928.2810899,803.9117096,700.2031301,128.432654,207.1190505,140.8190169,119.3348099,76.3949412,511.9745055,386.7968015,296.9044051,238.3727933,347.1290155,216.1603952,197.7299224,124.0556846,782.2515225,622.3506916,476.798719,1215.78778,1421.362654,1678.385419,1446.122084,2579.102622,2717.529526,1772.595973,1368.0277,58.29790503,119.77359,135.7217538,104.4413804,147.838945,206.230222,178.971249,122.2441932,1116.526148,1888.404281,1266.683766,1170.552651,2300.380713,2805.380714,2327.984207,2098.019292,82.82274784,176.1290361,152.4181983,77.0740691,56.98778294,412.2195804,314.448113,215.9580524
C032,Female,63,2594.463613,5721.031396,3136.42559,3657.483565,4364.85473,16067.18682,11331.89747,7341.163529,604.9345124,765.4688393,305.5269422,424.4549284,499.4938122,3008.84774,1780.217261,1068.079809,232.4246912,373.7650582,215.4395811,245.5304632,333.3418954,1143.894395,811.8291655,542.7551567,431.7147336,721.64857,209.6973482,393.2459319,345.1620272,2906.800128,1887.526758,1071.856052,238.3727933,301.5041524,117.8819835,163.9948432,232.8979068,1145.697615,850.1118826,521.6911663,673.565419,1175.288181,910.8322992,885.9517762,1000.996841,1820.149822,1520.769151,1094.566957,285.1212688,363.647792,159.0010214,191.1106089,253.9058227,1179.540861,873.4986899,546.0652543,417.7053567,622.0924552,427.4970238,476.9116428,531.2814829,1218.776806,950.9850446,716.4329219,216.8912182,235.0853617,106.5318592,99.73554865,202.3838971,692.8225113,481.1109682,349.1773381
